LHA_1,LHA_2,DIST
Trail,Summerland,154057.35
Trail,Penticton,144309.645
Trail,Castlegar,23782.5602
Trail,Creston,85172.4709
Trail,Revelstoke,214331.244
Trail,Golden,251805.286
Trail,Windermere,197487.786
Trail,Arrow Lakes,114658.76
Trail,Kootenay Lake,101787.298
Trail,Nelson,49294.7202
Trail,Kimberley,138593.765
Trail,Cranbrook,146882.943
Trail,Cranbrook,146882.943
Trail,Fernie,202773.79
Grand Forks,Maple Ridge/Pitt Meadows,305400.296
Grand Forks,Abbotsford,284102.855
Grand Forks,Chilliwack,257158.963
Grand Forks,Mission,283237.993
Grand Forks,Agassiz/Harrison,248724.087
Grand Forks,Hope,223219.864
Grand Forks,Merritt,207343.67
Grand Forks,South Cariboo,273209.923
Grand Forks,Central Okanagan,120156.562
Grand Forks,Vernon,146606.325
Grand Forks,Armstrong/Spallumcheen,163643.459
Grand Forks,Enderby,179470.54
Grand Forks,Salmon Arm,198274.294
Grand Forks,Kamloops,228224.868
Grand Forks,Southern Okanagan,81066.6126
Grand Forks,Keremeos,108364.404
Grand Forks,Princeton,158355.69
Grand Forks,Trail,54222.5094
Grand Forks,Kettle Valley,52845.2765
Grand Forks,Summerland,108851.479
Grand Forks,Penticton,97082.9695
Grand Forks,Castlegar,62640.1263
Grand Forks,Creston,139312.089
Grand Forks,Revelstoke,217501.059
Grand Forks,Golden,272818.589
Grand Forks,Windermere,237183.968
Grand Forks,Arrow Lakes,129937.484
Grand Forks,Kootenay Lake,139947.373
Grand Forks,Nelson,91768.9823
Grand Forks,Kimberley,189680.974
Grand Forks,Cranbrook,200075.938
Grand Forks,Cranbrook,200075.938
Grand Forks,Fernie,256032.335
Kettle Valley,Howe Sound,297498.467
Kettle Valley,West Vancouver/Bowen Island,303505.952
Kettle Valley,Vancouver - Westside,302077.976
Kettle Valley,Richmond,299843.308
Kettle Valley,Vancouver - City Centre,298443.678
Kettle Valley,Vancouver - South,295610.328
Kettle Valley,Vancouver - Midtown,296080.029
Kettle Valley,Vancouver - Centre North,295032.108
Kettle Valley,North Vancouver,292973.709
Kettle Valley,Vancouver - Northeast,292641.255
Kettle Valley,Burnaby,287284.312
Kettle Valley,New Westminster,283652.017
Kettle Valley,Surrey,276246.06
Kettle Valley,Tri-Cities,275168.933
Kettle Valley,Maple Ridge/Pitt Meadows,260664.086
Kettle Valley,Delta,288345.042
Kettle Valley,South Surrey/White Rock,277069.947
Kettle Valley,Langley,263299.09
Kettle Valley,Abbotsford,241476.392
Kettle Valley,Chilliwack,213641.502
Kettle Valley,Mission,239262.662
Kettle Valley,Agassiz/Harrison,203089.728
Kettle Valley,Hope,175887.013
Kettle Valley,Merritt,154511.645
Kettle Valley,South Cariboo,220661.012
Kettle Valley,Lillooet,268975.564
Kettle Valley,Central Okanagan,71052.0816
Kettle Valley,Vernon,105617.762
Kettle Valley,Armstrong/Spallumcheen,124409.445
Kettle Valley,Enderby,143053.763
Kettle Valley,Salmon Arm,159941.744
Kettle Valley,Kamloops,179645.578
Kettle Valley,North Thompson,278554.044
Kettle Valley,100 Mile House,304511.948
Kettle Valley,Southern Okanagan,40087.5239
Kettle Valley,Grand Forks,52845.2765
Kettle Valley,Keremeos,62856.1595
Kettle Valley,Princeton,108221.924
Kettle Valley,Trail,100314.831
Kettle Valley,Summerland,56006.7504
Kettle Valley,Penticton,44576.922
Kettle Valley,Castlegar,98640.9847
Kettle Valley,Creston,183664.665
Kettle Valley,Revelstoke,196134.973
Kettle Valley,Golden,266187.679
Kettle Valley,Windermere,252491.799
Kettle Valley,Arrow Lakes,129122.052
Kettle Valley,Kootenay Lake,159823.283
Kettle Valley,Nelson,122432.918
Kettle Valley,Kimberley,222557.036
Kettle Valley,Cranbrook,237232.296
Kettle Valley,Cranbrook,237232.296
Kettle Valley,Fernie,292480.939
Southern Okanagan,Southern Gulf Islands,289725.322
Southern Okanagan,Saanich Peninsula,292367.784
Southern Okanagan,Greater Victoria,293357.757
Southern Okanagan,Sunshine Coast,305649.146
Southern Okanagan,Howe Sound,267938.613
Southern Okanagan,West Vancouver/Bowen Island,268522.949
Southern Okanagan,Vancouver - Westside,266380.755
Southern Okanagan,Richmond,263487.795
Southern Okanagan,Vancouver - City Centre,262915.848
